Navn;Ticker;ISIN;Valuta;I dag %;I dag +/-;Siste;;Kjøp;Selg;Høy;Lav;Omsetning;1 uke %;1 måned %;3 måneder %;i år %;1 år %;3 år %;5 år %;10 år %;PE;PS;PB;EPS;Direkteavkastning %;Dividend Per Share;Belåningsgrad %;Kan shortes;Market Cap;Antall eiere;Report Description;General Meeting Date;Excluding Date;Dividend Date;Dividend Amount
Movinn A/S;MOVINN;DK0061555539;DKK;1,75;0,06;3,48;3,42;3,42;3,54;3,48;3,48;15315,48;−3,87;−7,45;−18,69;2,35;34,88;−57,04;;;−15,55;0,64;2,81;−0,22;0;0;0;Nei;57235554;184;;;;; 
Sydbank A/S;SYDB;DK0010311471;DKK;1,05;4;385;381;385;385;386;379;83006758,9;4,17;9,94;18,32;1,32;32,21;86,17;169,8;99,38;6,34;2,92;1,33;60,5;7,96;30,56;75;Ja;21005624016;5908;26.2.2025 (Kvartalsrapport (4. kvartal));20.3.2025;;; 
Impero A/S;IMPERO;DK0061536828;DKK;−3,33;−0,2;5,8;6;5,8;6,15;6,25;5,8;14490,35;−0,85;−9,38;14,85;3,57;30,04;−57,04;;;−14,29;4,26;9,13;−0,42;0;0;0;Nei;142649334;653;13.3.2025 (Kvartalsrapport (4. kvartal));;;; 
H. Lundbeck A/S B;HLUN B;DK0061804770;DKK;2,1;0,88;42,88;42;42,88;42,88;43,02;42;12118001,79;2,98;−0,83;−0,92;3,78;29,47;;;;15,7;1,98;1,92;2,71;1,64;0,7;80;Ja;40871189601;16719;5.2.2025 (Kvartalsrapport (4. kvartal));26.3.2025;;; 
ChemoMetec A/S;CHEMM;DK0060055861;DKK;1,15;5,7;501,5;495,8;501,5;501,5;506;489,2;20721732,4;2,85;4,26;27,09;3,15;29,39;−39,8;139,38;7168,12;64,3;21,51;15,5;7,83;0,79;4;60;Ja;8779550656;6645;5.2.2025 (Kvartalsrapport (2. kvartal));9.10.2025;;; 
DSV A/S;DSV;DK0060079531;DKK;−0,58;−9;1530,5;1539,5;1530,5;1530,5;1548,5;1521;226768754;1,16;−0,39;8,01;0,1;29,1;0,2;98,82;704,26;32,73;2,29;5,32;46,63;0,42;6,38;85;Ja;366798119836;27808;4.2.2025 (Kvartalsrapport (4. kvartal));20.3.2025;;; 
Djurslands Bank A/S;DJUR;DK0060136273;DKK;0,87;5;580;575;575;580;580;570;490607;2,65;11,54;12,62;3,57;28,89;72,62;124,81;195,92;6,21;2,41;0,96;91,85;5,26;30;30;Nei;1539000000;315;5.2.2025 (Kvartalsrapport (4. kvartal));18.3.2025;;; 
Roblon B A/S;RBLN B;DK0060485019;DKK;6,31;7;118;111;114;119;120;110;483403;19,19;19,8;26,2;15,69;28,54;−15,41;−44,34;−59,45;−18,53;0,73;0,9;−6,26;0;0;30;Nei;178428300;353;13.3.2025 (Kvartalsrapport (1. kvartal));30.1.2025;;; 
Københavns Lufthavne A/S;KBHL;DK0010201102;DKK;0,65;40;6180;6140;6180;6180;6180;6120;2659340;1,64;5,1;52,59;0,98;28,48;5,46;7,29;101,3;59,61;9,99;14,02;103;0;0;50;Nei;48187149800;1140;12.3.2025 (Kvartalsrapport (4. kvartal));;;; 
Rockwool A/S ser. A;ROCK A;DK0010219070;DKK;−1,38;−35;2495;2530;2495;2495;2535;2485;2207740;−1,58;−2,73;−17,38;−1,38;28,34;3,96;73,26;254,15;14;1,89;2,57;177,5;1,74;43,24;70;Nei;53976614682;2598;6.2.2025 (Kvartalsrapport (4. kvartal));2.4.2025;;; 
Rockwool A/S ser. B;ROCK B;DK0010219153;DKK;−1,26;−32;2512;2544;2512;2512;2542;2494;102113181;−1,88;−2,56;−17,15;−1,57;28,2;−12,17;58,59;257,58;14,06;1,89;2,58;177,5;1,73;43,24;75;Ja;53976614682;7357;6.2.2025 (Kvartalsrapport (4. kvartal));2.4.2025;;; 
Hvidbjerg Bank A/S;HVID;DK0060135978;DKK;−0,74;−1;135;136;133;135;136;132;71956;8;15,38;19,47;2,27;27,36;26,17;143,24;467,23;6,35;1,72;0,88;20,8;0;0;20;Nei;221780856;95;;;;; 
FLSmidth & Co. A/S;FLS;DK0010234467;DKK;−0,33;−1,2;359;360,2;359;359;360;356,8;24796795,5;0,96;−5,63;−5,33;0,84;27,21;46,95;31,74;32,28;29,72;1;1,91;12,1;1,11;4;75;Ja;20754000000;11743;20.2.2025 (Kvartalsrapport (4. kvartal));2.4.2025;;; 
HusCompagniet A/S;HUSCO;DK0061412855;DKK;−1,02;−0,6;58,4;59;58,4;58,4;59,4;58,2;628118,3;−2,67;−2,99;−12,05;−2,34;26,27;−50,68;;;84;0,59;0,61;0,7;0;0;50;Nei;1276548000;1970;7.3.2025 (Kvartalsrapport (4. kvartal));11.4.2025;;; 
Sparekassen Sjælland-Fyn A/S;SPKSJF;DK0060670776;DKK;−1,74;−4,5;253,5;258;253,5;253,5;259,5;253;6050411;3,68;19,58;22,76;1,6;26,12;53,64;183,56;;7,49;2,63;1;34;3,14;8;60;Nei;4321439268;743;;;;; 
Ringkjøbing Landbobank A/S;RILBA;DK0060854669;DKK;0,16;2;1220;1218;1220;1220;1226;1207;43962985;1,84;3,39;16,63;1,33;25,84;38,95;137,35;418,27;13,28;8,12;3,11;91,7;0,82;10;70;Ja;32502101363;3226;5.2.2025 (Kvartalsrapport (4. kvartal));5.3.2025;;; 
Nordfyns Bank A/S;NRDF;DK0061295441;DKK;1,18;4;342;338;338;342;342;338;27220;0;6,21;−0,58;1,18;24,82;39,59;180,33;169,29;5,08;2;0,77;66,97;5;17;30;Nei;561000000;182;25.2.2025 (Kvartalsrapport (4. kvartal));26.3.2025;;; 
Monsenso A/S;MONSO;DK0061277977;DKK;−10,26;−0,04;0,35;0,39;0,35;0,38;0,394;0,35;12185,35;−2,78;−20,45;−44,44;−4,89;24,61;−69,31;;;−4,28;2,34;2,32;−0,09;0;0;0;Nei;25323269;983;7.3.2025 (Kvartalsrapport (4. kvartal));10.4.2025;;; 
